dataset,pop1_size,pop2_size,pop3_size,pop4_size,pop34_size, pop234_size, pop1234_size,split_time_34,split_time_234,split_time_1234,migration_proportion,recombination_rate,sequence_length,mutation_rate,seed
confident-banach,1000,1000,1000,7000,8000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
confident-beaver,1000,1000,2000,6000,8000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
confident-easley,1000,1000,3000,5000,8000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
confident-hamilton,1000,1000,4000,4000,8000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
confident-swartz,1000,1000,5000,3000,8000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
confident-wiles,1000,2000,1000,6000,7000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-bassi,1000,2000,2000,4999,7000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-bhabha,1000,2000,3000,3999,7000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-bohr,1000,2000,4000,2999,7000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-engelbart,1000,2000,5000,1999,7000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-euler,1000,3000,1000,5000,6000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-hawking,1000,3000,2000,4000,6000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-kirch,1000,3000,3000,3000,6000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-panini,1000,3000,4000,2000,6000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-saha,1000,3000,5000,1000,6000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
cranky-stonebraker,1000,4000,1000,4000,5000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-agnesi,1000,4000,2000,3000,5000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-elion,1000,4000,3000,2000,5000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-euclid,1000,4000,4000,999,5000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-hamilton,1000,4000,5000,0,5000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-hugle,1000,5000,1000,3000,4000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-kilby,1000,5000,2000,2000,4000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-kirch,1000,5000,3000,1000,4000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-poincare,1000,5000,4000,0,4000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-poitras,1000,5000,5000,-999,4000,9000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
dazzling-wright,2000,1000,1000,6000,7000,8000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
determined-carson,2000,1000,2000,5000,7000,8000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
determined-chandrasekhar,2000,1000,3000,4000,7000,8000,10000,1000,1000,1000,0.5,1e-08,100000000,1e-08,1337
