name,population_size,sequence_length,mutation_rate,num_individuals,recombination_rate,seed
maryan,1000000,3e+9,10e-10,1000,1e-10,1337
bryer,1000000,3e+9,10e-10,1000,1e-8,1337
teflorna,1000000,3e+9,10e-10,1000,1e-6,1337
sylvina,2000000,3e+9,10e-10,2000,1e-10,1337
isemthil,2000000,3e+9,10e-10,2000,1e-8,1337
haemir,2000000,3e+9,10e-10,2000,1e-6,1337
crowlin,4000000,3e+9,10e-10,4000,1e-10,1337
tanulia,4000000,3e+9,10e-10,4000,1e-8,1337
narvari,4000000,3e+9,10e-10,4000,1e-6,1337
poe,8000000,3e+9,10e-10,8000,1e-10,1337
sanguisus,8000000,3e+9,10e-10,8000,1e-8,1337
morthil,8000000,3e+9,10e-10,8000,1e-6,1337
mistmael,16000000,3e+9,10e-10,16000,1e-10,1337
nesterin,16000000,3e+9,10e-10,16000,1e-8,1337
gembelle,16000000,3e+9,10e-10,16000,1e-6,1337
bronn,32000000,3e+9,10e-10,32000,1e-10,1337
sakakara,32000000,3e+9,10e-10,32000,1e-8,1337
midnight,32000000,3e+9,10e-10,32000,1e-6,1337
lindir,64000000,3e+9,10e-10,64000,1e-10,1337
rool,64000000,3e+9,10e-10,64000,1e-8,1337
wiska,64000000,3e+9,10e-10,64000,1e-6,1337
sapphire,128000000,3e+9,10e-10,128000,1e-10,1337
ben,128000000,3e+9,10e-10,128000,1e-8,1337
gresnalyn,128000000,3e+9,10e-10,128000,1e-6,1337
kolzreid,1000000,3e+9,10e-8,1000,1e-10,1337
oloxina,1000000,3e+9,10e-8,1000,1e-8,1337
bayle,1000000,3e+9,10e-8,1000,1e-6,1337
draco,2000000,3e+9,10e-8,2000,1e-10,1337
taena,2000000,3e+9,10e-8,2000,1e-8,1337
aravis,2000000,3e+9,10e-8,2000,1e-6,1337
willow,4000000,3e+9,10e-8,4000,1e-10,1337
daedi,4000000,3e+9,10e-8,4000,1e-8,1337
cosmic,4000000,3e+9,10e-8,4000,1e-6,1337
ingivald,8000000,3e+9,10e-8,8000,1e-10,1337
zabbas,8000000,3e+9,10e-8,8000,1e-8,1337
meya,8000000,3e+9,10e-8,8000,1e-6,1337
sesa,16000000,3e+9,10e-8,16000,1e-10,1337
vaegon,16000000,3e+9,10e-8,16000,1e-8,1337
rammir,16000000,3e+9,10e-8,16000,1e-6,1337
leodove,32000000,3e+9,10e-8,32000,1e-10,1337
azariah,32000000,3e+9,10e-8,32000,1e-8,1337
anakin,32000000,3e+9,10e-8,32000,1e-6,1337
beatsarda,64000000,3e+9,10e-8,64000,1e-10,1337
wilda,64000000,3e+9,10e-8,64000,1e-8,1337
khort,64000000,3e+9,10e-8,64000,1e-6,1337
legolas,128000000,3e+9,10e-8,128000,1e-10,1337
vyn,128000000,3e+9,10e-8,128000,1e-8,1337
earthtaker,128000000,3e+9,10e-8,128000,1e-6,1337
balrus,1000000,3e+9,10e-6,1000,1e-10,1337
halyziar,1000000,3e+9,10e-6,1000,1e-8,1337
elbereth,1000000,3e+9,10e-6,1000,1e-6,1337
cherlindrea,2000000,3e+9,10e-6,2000,1e-10,1337
igor,2000000,3e+9,10e-6,2000,1e-8,1337
ashford,2000000,3e+9,10e-6,2000,1e-6,1337
toki,4000000,3e+9,10e-6,4000,1e-10,1337
rijjat,4000000,3e+9,10e-6,4000,1e-8,1337
aelfric,4000000,3e+9,10e-6,4000,1e-6,1337
kezda,8000000,3e+9,10e-6,8000,1e-10,1337
gandor,8000000,3e+9,10e-6,8000,1e-8,1337
bellas,8000000,3e+9,10e-6,8000,1e-6,1337
zapptos,16000000,3e+9,10e-6,16000,1e-10,1337
remus,16000000,3e+9,10e-6,16000,1e-8,1337
faramir,16000000,3e+9,10e-6,16000,1e-6,1337
yvkiasha,32000000,3e+9,10e-6,32000,1e-10,1337
gaylia,32000000,3e+9,10e-6,32000,1e-8,1337
soldelle,32000000,3e+9,10e-6,32000,1e-6,1337
doreah,64000000,3e+9,10e-6,64000,1e-10,1337
petyr,64000000,3e+9,10e-6,64000,1e-8,1337
zika,64000000,3e+9,10e-6,64000,1e-6,1337
vicraera,128000000,3e+9,10e-6,128000,1e-10,1337
salvor,128000000,3e+9,10e-6,128000,1e-8,1337
dondarrion,128000000,3e+9,10e-6,128000,1e-6,1337
