name,population_size,sequence_length,mutation_rate,num_individuals,recombination_rate,seed
admiring-brown,10000.0,100000000,1e-08,100,1e-08,1337
admiring-dubinsky,100000.0,100000000,1e-08,100,1e-08,1337
admiring-joliot,1000000.0,100000000,1e-08,100,1e-08,1337
admiring-khorana,10000000.0,100000000,1e-08,100,1e-08,1337
admiring-sammet,100000000.0,100000000,1e-08,100,1e-08,1337
admiring-shaw,1000000000.0,100000000,1e-08,100,1e-08,1337
admiring-thompson,10000,1000000.0,1e-08,100,1e-08,1337
admiring-varahamihira,10000,10000000.0,1e-08,100,1e-08,1337
admiring-williams,10000,100000000.0,1e-08,100,1e-08,1337
adoring-hopper,10000,1000000000.0,1e-08,100,1e-08,1337
adoring-meninsky,10000,10000000000.0,1e-08,100,1e-08,1337
adoring-nightingale,10000,100000000,1e-08,100,1e-08,1337
adoring-torvalds,10000,100000000,1e-07,100,1e-08,1337
adoring-wescoff,10000,100000000,1e-06,100,1e-08,1337
adoring-wing,10000,100000000,1e-08,10,1e-08,1337
affectionate-aryabhata,10000,100000000,1e-08,100,1e-08,1337
affectionate-blackwell,10000,100000000,1e-08,1000,1e-08,1337
affectionate-boyd,10000,100000000,1e-08,10000,1e-08,1337
affectionate-darwin,10000,100000000,1e-08,100,1e-08,1337
affectionate-feynman,10000,100000000,1e-08,100,1e-07,1337
affectionate-gates,10000,100000000,1e-08,100,1e-06,1337
