name,pop1_size,pop2_size,ancestral_size,split_time,num_samples_per_population,sequence_length,mutation_rate,recombination_rate,seed
affectionate-hoover,1000,9000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-jennings,2000,8000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-mirzakhani,3000,7000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-noyce,4000,6000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-pare,5000,5000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-ramanujan,5000,5000,5000,100,100,100000000,1e-08,1e-08,1337
affectionate-saha,5000,5000,5000,1000,100,100000000,1e-08,1e-08,1337
affectionate-stallman,5000,5000,5000,10000,100,100000000,1e-08,1e-08,1337
agitated-bose,5000,5000,5000,100000,100,100000000,1e-08,1e-08,1337
agitated-dubinsky,5000,5000,5000,1000,10,100000000,1e-08,1e-08,1337
agitated-galileo,5000,5000,5000,1000,100,100000000,1e-08,1e-08,1337
agitated-hugle,5000,5000,5000,1000,1000,100000000,1e-08,1e-08,1337
agitated-keller,5000,5000,5000,1000,10000,100000000,1e-08,1e-08,1337
agitated-lichterman,5000,5000,5000,1000,100,100000000,1e-08,1e-08,1337
agitated-morse,5000,5000,5000,1000,100,100000000,1e-08,1e-07,1337
agitated-nightingale,5000,5000,5000,1000,100,100000000,1e-08,1e-06,1337
agitated-perlman,5000,5000,5000,1000,100,1000000.0,1e-08,1e-08,1337
agitated-swirles,5000,5000,5000,1000,100,10000000.0,1e-08,1e-08,1337
agitated-visvesvaraya,5000,5000,5000,1000,100,100000000.0,1e-08,1e-08,1337
agitated-wright,5000,5000,5000,1000,100,1000000000.0,1e-08,1e-08,1337
amazing-agnesi,5000,5000,5000,1000,100,10000000000.0,1e-08,1e-08,1337
amazing-bose,5000,5000,5000,1000,100,100000000,1e-08,1e-08,1337
amazing-curie,5000,5000,5000,1000,100,100000000,1e-07,1e-08,1337
amazing-dijkstra,5000,5000,5000,1000,100,100000000,1e-06,1e-08,1337
amazing-einstein,10000,90000,50000,1000,100,100000000,1e-08,1e-08,1337
