algorithm,variant,dataset,iteration,walltime_ns
load,tskit,data/tgp_chr14.trees,0,42203954
build_sf,sf,data/tgp_chr14.trees,0,6746241983
compute_subtree_sizes,sf,data/tgp_chr14.trees,0,6756572734
compute_afs,sf,data/tgp_chr14.trees,0,15978321
compute_afs,tskit,data/tgp_chr14.trees,0,56249080
load,tskit,data/tgp_chr14.trees,1,42139322
build_sf,sf,data/tgp_chr14.trees,1,6739638408
compute_subtree_sizes,sf,data/tgp_chr14.trees,1,6753878108
compute_afs,sf,data/tgp_chr14.trees,1,17106946
compute_afs,tskit,data/tgp_chr14.trees,1,56215919
load,tskit,data/tgp_chr14.trees,2,41582475
build_sf,sf,data/tgp_chr14.trees,2,6745711124
compute_subtree_sizes,sf,data/tgp_chr14.trees,2,6759232335
compute_afs,sf,data/tgp_chr14.trees,2,17220187
compute_afs,tskit,data/tgp_chr14.trees,2,56016636
load,tskit,data/tgp_chr14.trees,3,42413655
build_sf,sf,data/tgp_chr14.trees,3,6737714952
compute_subtree_sizes,sf,data/tgp_chr14.trees,3,6745963616
compute_afs,sf,data/tgp_chr14.trees,3,15947031
compute_afs,tskit,data/tgp_chr14.trees,3,56501323
load,tskit,data/tgp_chr14.trees,4,41586975
build_sf,sf,data/tgp_chr14.trees,4,6739139308
compute_subtree_sizes,sf,data/tgp_chr14.trees,4,6752073800
compute_afs,sf,data/tgp_chr14.trees,4,15975261
compute_afs,tskit,data/tgp_chr14.trees,4,56540293
load,tskit,data/tgp_chr14.trees,5,41335521
build_sf,sf,data/tgp_chr14.trees,5,6742265787
compute_subtree_sizes,sf,data/tgp_chr14.trees,5,6756036501
compute_afs,sf,data/tgp_chr14.trees,5,16520007
compute_afs,tskit,data/tgp_chr14.trees,5,56289071
load,tskit,data/tgp_chr14.trees,6,41504754
build_sf,sf,data/tgp_chr14.trees,6,6743290417
compute_subtree_sizes,sf,data/tgp_chr14.trees,6,6756326391
compute_afs,sf,data/tgp_chr14.trees,6,16892474
compute_afs,tskit,data/tgp_chr14.trees,6,56398390
load,tskit,data/tgp_chr14.trees,7,38988222
build_sf,sf,data/tgp_chr14.trees,7,6747953176
compute_subtree_sizes,sf,data/tgp_chr14.trees,7,6761583588
compute_afs,sf,data/tgp_chr14.trees,7,17304498
compute_afs,tskit,data/tgp_chr14.trees,7,56037367
load,tskit,data/tgp_chr14.trees,8,39455427
build_sf,sf,data/tgp_chr14.trees,8,6717770835
compute_subtree_sizes,sf,data/tgp_chr14.trees,8,6730710307
compute_afs,sf,data/tgp_chr14.trees,8,17472471
compute_afs,tskit,data/tgp_chr14.trees,8,56455152
load,tskit,data/tgp_chr14.trees,9,42289274
build_sf,sf,data/tgp_chr14.trees,9,6716088252
compute_subtree_sizes,sf,data/tgp_chr14.trees,9,6727621828
