section,variant,dataset,revision,machine_id,iteration,variable,value,unit
load,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,172333455,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,438393732,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,-290435072,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,-290336768,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,512355565,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,512364229,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,296481370,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,476551513,ns
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,-186576896,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,-186712064,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546512709,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,662565773,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,34157144,byte
compute_subtree_sizes,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,39790675,ns
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546517149,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,546521977,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,4440,byte
compute_afs,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,221367295,ns
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,552712729,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,4440,byte
compute_afs,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,36375604,ns
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,546530857,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,0,byte
diversity,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,203427932,ns
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,550241601,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,0,byte
diversity,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,35007344,ns
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,546530857,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,0,byte
num_segregating_sites,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,202143810,ns
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,550241601,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,0,byte
num_segregating_sites,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,walltime,73802487,ns
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,virtmem_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,rss_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,546521589,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_peak,546530857,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,heap_delta,0,byte
tajimas_d,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,0,stack_peak,6291456,byte
load,tskit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,162103358,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,walltime,435420386,ns
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,virtmem_delta,-272363520,byte
load_forest_file,sfkit,data/sgdp_chr15.trees,46c61fa,i10pc34,1,rss_delta,-272224256,byte
