filename,collection,organism,chromosome,num_trees,sequence_length,num_sample_nodes,total_size,num_edges,num_individuals,num_migrations,num_mutations,num_nodes,num_populations,num_provenances,num_sites
1kg_chr10.trees,1000 Genomes Project,human,10,1201085,135534749.0,5008,816488372,14950613,2504,0,1892928,1564558,26,5,1892928
1kg_chr11.trees,1000 Genomes Project,human,11,1161579,135006518.0,5008,769958236,13931082,2504,0,1846389,1512554,26,5,1846389
1kg_chr12.trees,1000 Genomes Project,human,12,1146344,133851897.0,5008,776411396,14177862,2504,0,1813876,1494711,26,5,1813876
1kg_chr13.trees,1000 Genomes Project,human,13,858661,115169880.0,5008,572237172,10346209,2504,0,1375737,1116684,26,5,1375737
1kg_chr14.trees,1000 Genomes Project,human,14,790053,107349542.0,5008,539475751,9868737,2504,0,1251266,1035096,26,5,1251266
1kg_chr15.trees,1000 Genomes Project,human,15,737479,102531394.0,5008,530196835,9938088,2504,0,1139249,975896,26,5,1139249
1kg_chr16.trees,1000 Genomes Project,human,16,805749,90354755.0,5008,583029746,10988204,2504,0,1229297,1070877,26,5,1229297
1kg_chr17.trees,1000 Genomes Project,human,17,694171,81195212.0,5008,510068516,9662445,2504,0,1057702,923028,26,5,1057702
1kg_chr18.trees,1000 Genomes Project,human,18,699960,78077250.0,5008,488750895,9014311,2504,0,1105072,925567,26,5,1105072
1kg_chr19.trees,1000 Genomes Project,human,19,469303,59128985.0,5008,359797274,6929658,2504,0,702032,626733,26,5,702032
1kg_chr1.trees,1000 Genomes Project,human,1,1928941,249250623.0,5008,1322902466,24283435,2504,0,3054174,2510728,26,5,3054174
1kg_chr20.trees,1000 Genomes Project,human,20,549517,63025522.0,5008,392816878,7312169,2504,0,860500,735195,26,5,860500
1kg_chr21.trees,1000 Genomes Project,human,21,339255,48129897.0,5008,244678841,4573770,2504,0,526399,452548,26,5,526399
1kg_chr22.trees,1000 Genomes Project,human,22,322938,51304568.0,5008,250736129,4842595,2504,0,482189,433995,26,5,482189
1kg_chr2.trees,1000 Genomes Project,human,2,2119205,243199375.0,5008,1394837184,25239529,2504,0,3348286,2746299,26,5,3348286
1kg_chr3.trees,1000 Genomes Project,human,3,1750604,198022432.0,5008,1144507748,20563639,2504,0,2805530,2264813,26,5,2805530
1kg_chr4.trees,1000 Genomes Project,human,4,1694496,191154278.0,5008,1095386991,19559003,2504,0,2735681,2171011,26,5,2735681
1kg_chr5.trees,1000 Genomes Project,human,5,1541955,180915262.0,5008,1004287910,17926088,2504,0,2507104,2002109,26,5,2507104
1kg_chr6.trees,1000 Genomes Project,human,6,1521231,171115069.0,5008,1022660756,18562157,2504,0,2441005,1968827,26,5,2441005
1kg_chr7.trees,1000 Genomes Project,human,7,1400336,159138665.0,5008,939776472,17124867,2504,0,2210958,1818766,26,5,2210958
1kg_chr8.trees,1000 Genomes Project,human,8,1372876,146364024.0,5008,901393023,16261912,2504,0,2181891,1774098,26,5,2181891
1kg_chr9.trees,1000 Genomes Project,human,9,1078947,141213433.0,5008,751850462,13914950,2504,0,1685401,1419099,26,5,1685401
sgdp_chr10.trees,Simons Genome Diversity Project,human,10,406961,135534749.0,554,225048271,3499376,277,0,749706,485622,130,5,749706
sgdp_chr11.trees,Simons Genome Diversity Project,human,11,396039,135006518.0,554,217332381,3377602,277,0,723986,471016,130,5,723986
sgdp_chr12.trees,Simons Genome Diversity Project,human,12,382717,133851897.0,554,212966851,3287435,277,0,720293,456917,130,5,720293
sgdp_chr13.trees,Simons Genome Diversity Project,human,13,300894,115169880.0,554,167448123,2583002,277,0,566949,359072,130,5,566949
sgdp_chr14.trees,Simons Genome Diversity Project,human,14,270479,107349542.0,554,149439695,2316093,277,0,501206,322666,130,5,501206
sgdp_chr15.trees,Simons Genome Diversity Project,human,15,259030,102531394.0,554,143602178,2301812,277,0,449834,309441,130,5,449834
sgdp_chr16.trees,Simons Genome Diversity Project,human,16,277188,90354755.0,554,153573084,2482041,277,0,473284,332234,130,5,473284
sgdp_chr17.trees,Simons Genome Diversity Project,human,17,222928,81195212.0,554,127245484,2061691,277,0,391256,269966,130,5,391256
sgdp_chr18.trees,Simons Genome Diversity Project,human,18,255018,78077250.0,554,142108727,2241391,277,0,461953,304593,130,5,461953
sgdp_chr19.trees,Simons Genome Diversity Project,human,19,129361,59128985.0,554,75063665,1239539,277,0,221183,157224,130,5,221183
sgdp_chr1.trees,Simons Genome Diversity Project,human,1,626284,249250623.0,554,347981614,5340633,277,0,1198947,747511,130,5,1198947
